3,Sukhanov Arsen,English,78
8,Veselov Anton,Chemistry,78
9,Komissarov Klim,Chemistry,66
13,Veselov Anton,Art,66
16,Bespalov Mitrofan,Chemistry,78
17,Rusakov Yuri,Geography,78
18,Stepanov Gordey,English,66
26,Veselov Anton,English,78
27,Komissarov Klim,Algebra,78
28,Sukhanov Arsen,English,66
41,Prokhorov Ludwig,Chemistry,78
42,Rusakov Yuri,Biology,78
45,Bespalov Mitrofan,Geometry,78
46,Stepanov Gordey,Art,78
49,Bespalov Mitrofan,Geography,78
54,Veselov Anton,Health,78
61,Sukhanov Arsen,History,78
63,Bespalov Mitrofan,Geometry,66
64,Ilyin Mechislav,Health,78
65,Sukhanov Arsen,Biology,66
66,Prokhorov Ludwig,History,66
67,Komissarov Klim,History,78
75,Rusakov Yuri,Algebra,66
80,Komissarov Klim,Chemistry,66
85,Bespalov Mitrofan,Biology,78
93,Lobanov Ernest,Geometry,66
95,Bespalov Mitrofan,Geometry,78
97,Rusakov Yuri,History,66
99,Sukhanov Arsen,Geography,78
119,Prokhorov Ludwig,History,66
120,Rusakov Yuri,PE,66
126,Prokhorov Ludwig,Algebra,78
132,Rusakov Yuri,English,78
134,Ilyin Mechislav,Algebra,66
145,Rusakov Yuri,Chemistry,78
146,Stepanov Gordey,History,66
149,Stepanov Gordey,Geography,78
153,Boris Kulikov,Health,78
158,Komissarov Klim,Biology,66
160,Rusakov Yuri,PE,66
162,Sukhanov Arsen,Algebra,78
164,Stepanov Gordey,Chemistry,78
166,Rusakov Yuri,Health,66
169,Stepanov Gordey,Health,66
170,Lobanov Ernest,PE,66
171,Veselov Anton,Biology,66
174,Rusakov Yuri,Art,78
179,Prokhorov Ludwig,Biology,78
181,Prokhorov Ludwig,History,66
182,Komissarov Klim,Biology,78
184,Veselov Anton,Biology,66
208,Veselov Anton,Chemistry,78
209,Komissarov Klim,Geography,78
210,Stepanov Gordey,Chemistry,78
211,Veselov Anton,History,78
214,Veselov Anton,Biology,66
215,Stepanov Gordey,English,78
217,Veselov Anton,Geography,66
219,Lobanov Ernest,Health,66
221,Veselov Anton,English,78
225,Ilyin Mechislav,History,66
226,Lobanov Ernest,Biology,66
227,Boris Kulikov,Geometry,66
229,Komissarov Klim,Geography,66
232,Boris Kulikov,Geometry,66
233,Lobanov Ernest,Algebra,78
235,Veselov Anton,History,78
239,Lobanov Ernest,Algebra,78
241,Bespalov Mitrofan,PE,78
243,Boris Kulikov,Chemistry,78
244,Veselov Anton,Geometry,78
247,Ilyin Mechislav,Chemistry,78
